raqam,fayl,sinf,izoh
40,t039_IMG_20260711_083534_0_900.jpg,,
41,t040_IMG_20260711_080933_2000_900.jpg,,
42,t041_IMG_20260711_080214_1000_900.jpg,,
43,t042_IMG_20260711_083419_0_900.jpg,,
44,t043_IMG_20260711_083523_2000_900.jpg,,
45,t044_IMG_20260711_082222_1000_900.jpg,,
46,t045_IMG_20260711_082039_1000_900.jpg,,
47,t046_IMG_20260711_083358_0_900.jpg,,
48,t047_IMG_20260711_083251_0_900.jpg,,
49,t048_IMG_20260711_083309_2000_900.jpg,,
50,t049_IMG_20260711_083222_2000_900.jpg,,
51,t050_IMG_20260711_080300_1000_900.jpg,,
52,t051_IMG_20260711_082532_0_900.jpg,,
53,t052_IMG_20260711_081213_1000_900.jpg,,
54,t053_IMG_20260711_083100_2000_900.jpg,,
55,t054_IMG_20260711_081630_2000_900.jpg,,
56,t055_IMG_20260711_083419_1000_900.jpg,,
57,t056_IMG_20260711_080214_2000_900.jpg,,
58,t057_IMG_20260711_083431_0_900.jpg,,
59,t058_IMG_20260711_082235_2000_900.jpg,,
60,t059_IMG_20260728_070142_2000_900.jpg,,
61,t060_IMG_20260711_082427_2000_900.jpg,,
62,t061_IMG_20260711_082214_1000_900.jpg,,
63,t062_IMG_20260711_083244_2000_900.jpg,,
64,t063_IMG_20260711_083332_0_900.jpg,,
65,t064_IMG_20260711_083212_1000_900.jpg,,
66,t065_IMG_20260711_082041_2000_900.jpg,,
67,t066_IMG_20260711_081613_0_900.jpg,,
68,t067_IMG_20260711_082141_2000_900.jpg,,
69,t068_IMG_20260711_082214_0_900.jpg,,
70,t069_IMG_20260711_082532_2000_900.jpg,,
71,t070_IMG_20260711_082528_1000_900.jpg,,
72,t071_IMG_20260711_083212_2000_900.jpg,,
73,t072_IMG_20260711_083332_1000_900.jpg,,
74,t073_IMG_20260711_081929_1000_900.jpg,,
75,t074_IMG_20260711_083315_0_900.jpg,,
76,t075_IMG_20260711_083224_1000_900.jpg,,
77,t076_IMG_20260711_083358_1000_900.jpg,,
78,t077_IMG_20260711_081835_1000_900.jpg,,
79,t078_IMG_20260711_083103_2000_900.jpg,,
80,t079_IMG_20260711_081934_1000_900.jpg,,
81,t080_IMG_20260711_082152_1000_900.jpg,,
82,t081_IMG_20260711_080239_0_900.jpg,,
83,t082_IMG_20260711_080239_1000_900.jpg,,
84,t083_IMG_20260711_083100_1000_900.jpg,,
85,t084_IMG_20260711_083148_1000_900.jpg,,
86,t085_IMG_20260711_083222_1000_900.jpg,,
87,t086_IMG_20260711_081613_1000_900.jpg,,
88,t087_IMG_20260711_080955_1_1000_900.jpg,,
89,t088_IMG_20260711_081800_2000_900.jpg,,
90,t089_IMG_20260711_080445_1000_900.jpg,,
91,t090_IMG_20260711_081706_1000_900.jpg,,
92,t091_IMG_20260711_081835_2000_900.jpg,,
93,t092_IMG_20260711_082157_1000_900.jpg,,
94,t093_IMG_20260711_083246_1000_900.jpg,,
95,t094_IMG_20260711_083319_0_900.jpg,,
96,t095_IMG_20260711_082429_2000_900.jpg,,
97,t096_IMG_20260711_083106_2000_900.jpg,,
98,t097_IMG_20260711_083523_1000_900.jpg,,
99,t098_IMG_20260711_083206_0_900.jpg,,
100,t099_IMG_20260711_080933_1000_900.jpg,,
101,t100_IMG_20260711_080553_2000_900.jpg,,
102,t101_IMG_20260711_083525_0_900.jpg,,
103,t102_IMG_20260711_081759_2000_900.jpg,,
104,t103_IMG_20260711_083346_1000_900.jpg,,
105,t104_IMG_20260711_082152_2000_900.jpg,,
106,t105_IMG_20260711_083319_2000_900.jpg,,
107,t106_IMG_20260711_083206_1000_900.jpg,,
108,t107_IMG_20260728_070142_1000_900.jpg,,
109,t108_IMG_20260711_080935_2000_900.jpg,,
110,t109_IMG_20260711_081613_2000_900.jpg,,
111,t110_IMG_20260711_083251_1000_900.jpg,,
112,t111_IMG_20260711_080553_1000_900.jpg,,
113,t112_IMG_20260711_083105_2000_900.jpg,,
114,t113_IMG_20260711_080302_1000_900.jpg,,
115,t114_IMG_20260711_080328_1000_900.jpg,,
116,t115_IMG_20260711_083431_1000_900.jpg,,
117,t116_IMG_20260711_080214_0_900.jpg,,
118,t117_IMG_20260711_080958_1000_900.jpg,,
119,t118_IMG_20260711_083515_1000_900.jpg,,
120,t119_IMG_20260711_082222_2000_900.jpg,,
121,t120_IMG_20260711_081800_1000_900.jpg,,
122,t121_IMG_20260711_081704_2000_900.jpg,,
123,t122_IMG_20260711_081630_1000_900.jpg,,
124,t123_IMG_20260711_082045_2000_900.jpg,,
125,t124_IMG_20260711_080955_1000_900.jpg,,
126,t125_IMG_20260711_082141_1000_900.jpg,,
127,t126_IMG_20260711_080324_0_900.jpg,,
128,t127_IMG_20260711_080442_2000_900.jpg,,
129,t128_IMG_20260711_083528_1000_900.jpg,,
130,t129_IMG_20260711_080328_2000_900.jpg,,
131,t130_IMG_20260711_080257_1000_900.jpg,,
132,t131_IMG_20260711_083224_0_900.jpg,,
133,t132_IMG_20260711_081249_1000_900.jpg,,
134,t133_IMG_20260711_083410_2000_900.jpg,,
135,t134_IMG_20260711_083400_0_900.jpg,,
136,t135_IMG_20260711_083534_1000_900.jpg,,
137,t136_IMG_20260711_081934_2000_900.jpg,,
138,t137_IMG_20260711_080239_2000_900.jpg,,
139,t138_IMG_20260711_083400_1000_900.jpg,,
140,t139_IMG_20260711_083206_2000_900.jpg,,
141,t140_IMG_20260711_082039_0_900.jpg,,
142,t141_IMG_20260711_082527_1000_900.jpg,,
143,t142_IMG_20260711_083628_0_900.jpg,,
144,t143_IMG_20260711_083528_0_900.jpg,,
145,t144_IMG_20260711_083105_1000_900.jpg,,
146,t145_IMG_20260711_080545_2000_900.jpg,,
147,t146_IMG_20260711_083638_0_900.jpg,,
148,t147_IMG_20260711_083521_0_900.jpg,,
149,t148_IMG_20260711_083523_0_900.jpg,,
150,t149_IMG_20260728_074145_1000_900.jpg,,
151,t150_IMG_20260711_081213_0_900.jpg,,
152,t151_IMG_20260711_081706_0_900.jpg,,
153,t152_IMG_20260711_081929_2000_900.jpg,,
154,t153_IMG_20260711_083158_2000_900.jpg,,
155,t154_IMG_20260711_083056_2000_900.jpg,,
156,t155_IMG_20260711_081759_1000_900.jpg,,
157,t156_IMG_20260711_081738_0_900.jpg,,
158,t157_IMG_20260711_082222_0_900.jpg,,
159,t158_IMG_20260711_082333_1000_900.jpg,,
160,t159_IMG_20260711_083525_1000_900.jpg,,
